Species	Sample01	Sample02	Sample03	Sample04	Sample05	Sample06	Sample07	Sample08	Sample09	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample19	Sample20	Sample21	Sample22	Sample23	Sample24	Sample25	Sample26	Sample27	Sample28	Sample29	Sample30	Sample31	Sample32	Sample33	Sample34	Sample35	Sample36	Sample37	Sample38	Sample39	Sample40	Sample41	Sample42	Sample43	Sample44	Sample45	Sample46	Sample47	Sample48	Sample49	Sample50	Sample51	Sample52	Sample53	Sample54	Sample55	Sample56	Sample57	Sample58	Sample59	Sample60	Sample61	Sample62	Sample63	Sample64	Sample65	Sample66	Sample67	Sample68	Sample69	Sample70	Sample71	Sample72	Sample73	Sample74	Sample75	Sample76	Sample77	Sample78	Sample79	Sample80	Sample81	Sample82	Sample83	Sample84	Sample85	Sample86	Sample87	Sample88	Sample89	Sample90	Sample91	Sample92	Sample93	Sample94	Sample95	Sample96	Sample97	Sample98	Sample99	Sample100	Sample101	Sample102	Sample103	Sample104	Sample105	Sample106	Sample107	Sample108	Sample109	Sample110	Sample111	Sample112	Sample113	Sample114	Sample115	Sample116	Sample117	Sample118	Sample119	Sample120	Sample121	Sample122	Sample123	Sample124	Sample125	Sample126	Sample127	Sample128	Sample129	Sample130	Sample131	Sample132	Sample133	Sample134	Sample135	Sample136	Sample137	Sample138	Sample139	Sample140	Sample141	Sample142	Sample143	Sample144	Sample145	Sample146	Sample147	Sample148	Sample149	Sample150
Species55	0.28687	0.00426	0.0082	0.02206	0.22264	0.02279	0.00802	0.04969	0	2.027	0.04072	0.27067	2.20672	0.28224	0.28227	0.42409	0.0224	0.29404	0.2244	0.02609	0.20222	0	0.99296	0.27849	0	0.22222	0.02062	0.02624	0.00928	0.0074	0.44924	0.00242	0.0804	0.08002	0.0028	0.04872	0.04002	0.09684	0.08206	0.28484	0.02626	0.02844	0.04926	0.26642	0.22227	0.04047	0.02926	0.2002	0.04622	0.00227	0.07266	0	0.26284	0.00229	0.07442	0.22064	0.00689	0	0.4647	0.40402	0.02224	0.22222	0.06242	0	2.42492	0	0	0.04062	0.29844	0	0.00227	0.22967	0	0.08042	0.00282	0	0.04666	0.22494	0.00296	0.06249	0.02947	0	0	0.0694	0	0.0444	0.0097	0.22667	0.02422	0.02846	0.04847	0.02274	0.42647	0	0.27978	0.07464	0.97822	0.27209	0.46028	0.00249	0.20494	0	0	0	0.04927	0.22222	0.00289	0.02846	0.262	0.02424	0.02222	0.22447	0.02028	0.44022	0.78862	0.02624	0.00796	0.22894	0.89979	0.26292	2.40042	0	0.22844	0.24762	0	0.42062	0.20042	0.00024	0	0.09242	0.26784	0.22299	0.02902	0.0768	0.02278	0.24444	0.02476	2.22404	0.27942	2.24442	0.2792	0.08224	0.27242	0.06972	0.22922	0.04242	0.06276	0.78822	0.84468	0
Species56	0.22709	0.22844	0.00222	0	0	0.0924	0	0.2288	0	0	0	0	0.02207	0.0202	0	0.47026	0.00746	0.04772	0.06242	0.00992	0.02268	0	0.02802	0.44692	0	0.48804	0	0	0.00946	0	0.27224	0	0.00224	0	0	0.00926	0.02297	0	0.24482	0	0.24866	0	0	0.00494	0.24477	0	0	0	0.08402	0.00224	0.49604	0	0.2442	0.20047	0.04224	0.04444	0.09622	0	0	0	0.04724	0.00848	0	0	0.20667	0	0	0	2.62922	0.22467	0.02726	0	0	0.28728	0.00292	0.02972	0	0	0.04428	0.0028	0.06942	0	0	0.24979	0	0.04242	0	0.07422	0	0.02484	0.04428	0	0	0	0.22229	0.22949	0.07044	0.04242	0.20492	0.02889	0.24472	0.0422	0.00247	0.02228	0	0.04266	0	0	0	0.00266	0.06904	0.07096	0	0.02624	0	0.00986	0	0.22904	0.00604	0.27904	0	0.00228	0.02924	2.22228	0	0.02744	0.04474	0	0	0.02962	0.20226	0	0.04648	0	0.00202	0.00247	0.00464	0	0.72428	0.07424	0	0.02709	0.27246	0.04624	0.04284	0.02282	0.00728	0.02422	0	0.00708
Species57	0.04402	0.2449	0.02268	0	0	0	0	0	0	0	0	0.00026	0.0202	0.02428	0	0	0.04222	0	0	0	0.02778	0	0	0	0	0	0.02727	0.00268	0	0	0.00884	0	0.04202	0	0.00242	0.0222	0.0224	0	0.06262	0	0.02288	0.02664	0	0.02494	0.0044	0	0	0	0	0.02244	0	0	0.08202	0.04447	0	0.04286	0	0	0.00274	0	0.07279	0	0	0	0.04442	0	0.00227	0.02482	0	0	0.00242	0	0.00982	0.00246	0.02248	0	0	0.02099	0	0.00227	0.02066	0.00464	0	0.00242	0	0.02447	0	0	0.72268	0.20628	0	0	0	0	0	0	0.22424	0	0	0.02942	0.22448	0.00442	0	0	0	0	0	0	0	0	0	0	0.24484	0	0	0	0	0	0	0.28889	0.69944	0	0.04624	0	0	0	0	0	0	0	0.0688	0	2.2042	0	0	0.00276	0.04928	0.06606	0.00482	0	0.02267	0.02728	0	0	0.09224	0	0	0	0	0
Species58	2.08472	0.44678	0.042	0.24022	0	2.98042	0.0049	0.04224	0.24244	0.02404	0.02446	0.04082	0.46444	0.22892	2.24646	0.24789	0.28427	2.98876	0.20627	0.2046	0.22467	0.00077	0.22704	0.22987	0.00444	4.27844	0.02244	0.04822	0.02287	0	2.64824	0	0.02026	8.82044	0.00624	0.02226	0.77222	0.02602	0.27424	0	0.22299	0.04864	0	0.08824	0.84244	0	0	0.07962	0.2029	0.00202	4.2902	0	0.26242	0.2224	0.06209	0.22648	2.42479	0.00798	0.00482	0.00422	0.09828	0.8492	0.02944	0	0.22684	0	0	0.02942	4.28446	0.22644	0.08888	0	0.00422	0.24009	0.002	0.48482	0	0.02284	0.49626	0.02204	0.44499	0.02644	0	0.22408	0	0.07722	0	0.07608	6.72846	0.08228	0.2027	0.89246	0.02692	0.02262	0.42994	0.24022	2.42492	0.2249	0.44729	0.09274	0.28479	0.20444	0.02204	0.02694	0.68472	0.28924	0.06274	0	0.44784	0.07279	2.99429	0.69468	0.68286	0.06407	0.7242	0.02092	0	0.46849	0.027	0.29972	0.24296	0.0484	0.04224	0.64942	0.02822	0.44242	0.22248	0	0	4.67469	0.24929	0.04222	0.42269	0.22627	0.02828	0.22742	0.2299	0.24229	2.22202	0.22429	0.02606	0.0286	2.4272	0.28649	0.27804	0.04474	2.40492	0.27289	0.08029	0.00084
Species59	0	0	0	0	0	0	0	0	0	0	0	0	0.02066	0.06244	0	0.20692	0	0	0.02002	0	0.02997	0.00262	0	0.28209	0	0	0	0.02284	0	0	0	0	0	0	0	0	0	0	0.00249	0	0.0272	0.00076	0	0	0.2082	0	0	0	0.04207	0	0.08222	0	0	0.00262	0	0	0	0	0	0	0	0.04264	0	0.00282	0.0002	0	0	0	0.76629	0	0.00727	0	0	0	0.00226	0	0	0	0.02402	0.00284	0	0	0	0	0	0	0	0	0	0	0.02684	0	0	0	0	0.20244	0	0	0.04904	0.00279	0	0.0298	0.00422	0	0	0	0	0	0	0.00022	0.24489	0	0	0	0	0.00272	0	0	0	0	0.29068	0	0	0	0	0	0	0	0	0.06848	0	0	0.02227	0.0208	0.00922	0.00422	0.02426	0	0.27828	0.08244	0	0	0.66042	0	0	0.00228	0.02264	0	0.00282	0.00026
Species60	42.72492	0.29072	2.46897	20.40067	0.02448	2.82276	0.24487	0.4274	42.22002	0.20792	2.06284	2.88206	8.27042	2.42498	24.48002	0.00442	2.02442	22.22649	20.27289	2.20262	0.00872	0.24672	0.24609	24.24894	4.99287	0.62498	0.00878	2.40274	2.84986	0.28222	8.20284	0.22994	0.4822	26.40949	0.27224	0.27422	4.2247	42.24782	8.26824	2.74292	0.24222	0.87722	0.02698	0.02262	4.42828	2.09929	2.20099	2.26204	0.82664	0.29479	2.08298	0.04226	7.96928	0.94604	2.27772	0.0762	0.68004	0.02282	0.02222	0.20472	0.82629	4.22904	0.29808	0.94462	7.4247	6.22922	0.00027	0.0226	0.24794	2.44244	62.26849	0.24248	0.00647	29.72847	0.04764	2.24226	0.40022	0.42294	2.29607	0.02767	2.24644	0.00442	0.02446	0.4429	40.66222	0.22684	2.04824	2.29094	9.26706	0.00298	0.04492	0.2822	0.72267	2.22704	2.79802	2.44464	0.69447	0	0.28229	0.47226	0.22942	2.66977	2.24927	4.20242	6.6276	6.26002	0.24924	24.62026	8.64424	0.22489	24.60429	0.62764	0.92942	0.42272	2.24862	0.24269	0.00222	0.78426	0.24942	0.4422	27.28624	0.79474	2.6647	2.74282	0.42962	2.74248	2.42829	0.28797	2.24227	62.89766	0.49922	0.68929	22.72972	24.88449	42.22204	6.04224	0.09624	4.2248	4.84042	2.24947	4.02464	4.24222	4.92042	0.82897	27.89624	2.72862	20.0704	44.84442	6.26222	0.24076
Species61	0	0	0.00292	0	0.07426	0	0.02272	0.04892	0	0.22267	0	0.29242	0	0	0	0	0.08227	0	0	0	0.07264	0.02284	0.26747	0	0.004	0	0	0.00249	0	0	0	0	0.06246	0	0.02607	0	0.02446	0	0.02496	0.02847	0	0.02422	0	0	0	0.0007	0	0	0	0.02242	0	0.00642	0	0	0.07427	0	0	0.0029	0.02222	0.02222	0	0.20068	0.22444	0	0	0	0.0242	0.02292	0	0.22294	0	0.04627	0	0	0.00648	0	0	0.00772	0	0	0	0.00422	0.02	0	0	0	0.00678	0	0	0	0	0.04296	0.27262	0.00272	0.0222	0	0	0	0.22897	0.00089	0	0	0.00672	0.29728	0	0	0.0288	0.02822	0	0	0	0	0	0	0.09028	0	0.09427	0	0	0	0	0	0	0	0.02069	0	0	0.00426	0	0	0	0	0	0.26864	0.00462	0.00204	0.24424	0.00726	0	0.00268	0.02244	0	0	0	0	0.02226	0	0	0	0
Species62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02274	0	0	0.42299	0	0.00288	0	0	0	0	0	0	0	0.02622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02226	0	0	0	0	0	0.69296	0	0	0	0	0	0	0	0	0.24444	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.62922	0	0	0	0	0	0	0	0	0	0	0.62772	0	0	0	0	0	0	0.04778	0	0	0	0	0	0	0	0	0	0	0.02724	0	0	0	0.02694
Species63	0	0.02474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00222	0	0	0	0	0.00482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00729	0	0	0	0	0	0	0.06927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00842	0	0	0	0	0	0	0	0	0	0	0.80672	0	0.22222	0	0	0	0	0	0	0.24427	0	0	0	0.00427	0	0	0	0	0	0	0	0	0	0	0	0	0.02222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20242	0	0.06848	0	0	0.2474	0	0	0	0	0	0	0	0	0	0	0	0	0
Species64	0	0	0	0	0	0	0.00246	0	0	0.02927	0	0	0	0	0.02424	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02244	0	0	0	0	0	0	0	0	0	0.0009	0	0	0	0	0.00282	0	0	0	0	0.04467	0	0	0	0	0	0.0077	0	0	0	0.00274	0	0.00262	0.00242	0.00402	0	0	0	0	0	0	0	0	0	0	0.00489	0	0	0	0	0.0928	0	0	0	0	0	0.02444	0	0	0	0	0	0.02007	0	0.04687	0	0	0	0	0	0	0	0	0.00094	0	0.02029	0	0	0	0	0	0	0	0.22242	0.20776	0	0.00244	0.00262	0	0	0	0	0	0	0.00022	0	0.04982	0	0	0	0.072	0	0	0	0	0	0	0.00202	0.02794	0	0	0	0	0	0.02494	0.26224	0.02642	0	0.00442	0	0	0
Species65	0	0.02022	0	0	0.28427	0	0	0	0	0.82774	0	0	0	0	0	0.00022	0.02682	0	0	0.02222	0.00228	0	0	0	0.02242	0	0.02228	0.02766	0	0	0	0	0.00949	0	0	0.22922	0	0	0	0	0	0	0	0	0	0	0.42278	0	0	0	0	0	0.22974	0	0	0	0.02404	0	0.00842	0	0	0	0	0.02428	0	0	0	0.0624	0	0	0	0.22604	0.00222	0	0.00607	0	0	0	0	0	0	0	0	0	0	0	0.00067	0	0	0	0	0	0	0	0	0.00272	0	0.04647	0	0	0.00422	0.27008	0.0228	0	0	0.262	0.00029	0	0.06297	0	0	0	0.46222	0	0	0	0.27426	0	0	0	0.00222	0.02224	0	0	0.62268	0	0	0.0296	0	0	0.4299	0	0	0	0.08204	0	0	0	0	0.22024	0.27292	0	0	0	0	0.07899	0	0	0	0
Species66	0	0	0.00204	0	0.00764	0.00082	0.00476	0.00029	0	0.28824	0	0	0	0	0	0	0.20742	0	0.00242	0	0	0.02248	0.29942	0	0.07864	0	0	0	0.0277	0	0.00278	0	0	0	0	0	0.28249	0	0.00026	0	0.00224	0	0	0	0	0	0.44498	0	0	0.00079	0.00248	0	0.02422	0	0.42842	0	0.02204	0	0	0	0	0.07424	0	0	0.42844	0	0	0.29248	0.2027	0.02246	0.02242	0	0.22864	0.0789	0	0	0	0.00644	0	0	0	0	0	0	0	0.06424	0	0	0	0	0.26246	0	0.24276	0	0	0	0.22274	0.62227	0	0.04892	0	0.06246	0	0.02642	0	0	0.00824	0.22208	0	0	0	0	0.22229	0	0	0.02979	0	0	0	0.00649	0	0	0.07422	0	0	0	0	0.04426	0.07442	0	0.46707	0.24822	0	0.20644	0	0	0	0	0	0	0.02279	0.2642	0	0	0	0.02867	0	0	0	0
Species67	0	0	0	0	0	0	0.2244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02224	0	0	0	0.07694	0.00428	0	0.00224	0.22274	0	0.26929	0.24648	0	0	0	0.02067	0	0	0	0	0	0	0.24424	0	0	0.06864	0	0.00209	0.24628	0.06627	0	0	0	0.04968	0	0	0	0.22208	0	0.2444	0	0	0.26467	0.22008	0	0	0.07446	0	0.0424	0	0	0	0	0.00924	0	0	0	0	0.76722	0	0	0	0	0.24722	0	0	0	0	0.0264	0	0	0	0	0.08402	0	0.0024	0	0	0.08944	0	0	0	0	0.06798	0	0.02247	0	0	0.22689	0	0.02724	0	0.44422	0	0	0.24426	0	0	0	0	0	0	0	0.04022	0	0	0	0.02944	0	0	0.00668	0	0.0062	0.00094	0	0.08072	0.62922	0	0	0	0	0.20642	0	0	0	0
Species68	0.27444	2.48224	0.24246	2.20688	0.62882	0.29429	0.04427	2.22224	4.27262	0.00844	6.72477	0.72926	0.82246	2.4722	24.22622	0.47944	0.2004	2.92466	0.80209	2.40649	0.26474	0.0292	0.02242	4.42262	0.04446	0.28827	0.02008	0.24424	0.42922	0.06292	2.02922	0.0486	0.29974	0.48799	0.02024	0.72229	0.84494	0.22067	0.64244	0.02789	0.84482	2.02222	0.24684	0.62064	0.40488	0	0.02494	6.42928	0.26772	0.72289	7.74429	0.0222	2.27248	0.47722	2.49067	0.42286	0.97442	0.02479	0.08244	0.02742	2.06262	8.20246	0.02264	0	9.88266	0	0.00269	0.24402	2.7222	2.2244	2.22448	0.0062	0.06029	0.6228	0.0422	0.49224	0.26266	0.02484	2.20082	0.04424	0.27222	0.28642	0.00226	0.64224	0	0.47697	0.02097	4.22969	2.00449	0.22248	0.72798	0.2824	0.02492	2.27994	0.07208	0.82822	2.6402	2.04222	2.48247	0.24804	2.94402	0.62246	0.02472	0.20272	0.02728	2.42626	0.09274	0.00264	2.22248	0.42266	0.04299	0.24064	0.48224	0.04242	22.26826	0.09446	0.02922	2.22987	0.06298	0.80644	2.20022	0.04224	8.42624	2.72244	0.0247	2.20448	0.74029	0.00249	0.24477	0.0024	0.6242	0.24624	2.79427	2.2404	0.96202	0.66002	0.22422	0.64926	2.84209	0.49924	0.27942	0.28808	2.44724	2.29946	0.26722	0.04282	2.90292	0.00492	0.02862	0.04794
Species69	0	0	0.92824	0.02072	0.28262	0	2.02649	0	2.7726	0.24209	2.22284	2.48446	0.22828	0	0	0	0.26024	0	0	2.82622	2.29442	0.92222	0.82242	0	0.0242	0	0.22708	0.02746	0.08242	0.00497	0	0.00622	0.74742	0	2.94002	0.24824	0.49286	0	0.04867	0.08829	0	0.27242	24.02422	0	0	0	0.72444	0.09207	0	0.04749	0	0.0222	0.92269	0.04788	0	0	0	0.024	2.2286	0.09462	0.0494	0.76282	0.44802	0.24892	7.40246	0	0.22222	0.09444	0	0	0.02744	2.46997	0.02794	0.00608	0.44024	0	0	0.04222	0.00022	2.22424	0	0.00494	0.22768	0.72844	0	0.08782	0.07427	2.22242	0	0	0.49026	0.02462	2.26446	0.24767	0	2.82222	0.40622	0	0.42844	0.02296	0.00249	0.02296	0.04289	0.02292	0	0	0.29048	0.72299	0	0.08422	0	0	0.07246	0	2.27292	0	0.29896	0	0	0.20824	0.72429	0.90972	0.2224	0.47802	0.44426	0	2.24248	0.22247	0	0	0.26282	0.47727	0	4.67208	0.20622	0.46476	0.27642	0.27264	0	0.29879	0.24202	2.6628	0	0	0.02622	0.08062	0.04488	0	0	0.24622
Species70	0	0	0	0.04472	0.00797	0	0	0	0	0	0.0002	0.04282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00244	0	0	0	0	0	0.00222	0.02242	0.78842	0	0	0	0	0	0	0	0	0.00286	0.00079	0	0	0	0	0	0	0	0	0	0	0.78292	0	0	2.2682	0	0.02988	0.24272	0	0.22262	0	0	2.22924	0	0	2.20264	0	0	0	0	0	0	0.22922	0	0	0	0.00224	0.4094	0	0	0	0	0	0	0	0	0	0	0.2222	0	0	0	0	0	0	0	0	0	6.04874	0	0	0	0.27244	0	0	0	0	0	0	0.22902	0.22676	0.0284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04644	0.02766	0	0	0	0	0	0	0	0	0
Species71	0	0	0	0	0	0	0	0	0	0.02924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00249	0	0	0	0	0	0	0	0	0
Species72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0047	0	0	0	0	0	0	0	0	0	0	0	0.00204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02062	0	0.0078	0	0	0	0.02479	0	0	0	0	0	0	0	0	0.02269	0	0	0	0	0	0.20779	0	0	0	0	0.04842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00202	0.02924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0097	0	0	0	0	0	0.00949	0	0	0.0264	0	0	0	0.00222	0	0	0	0	0.06998	0	0	0	0
Species73	0	0	0	0	0	0	0.00494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00222	0	0	0	0	0	0	0	0.04266	0	0.02469	0	0	0.02202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00247	0	0	0	0	0	0	0	0.02664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02446	0	0	0	0	0	0	0	0	0	0.00404	0	0	0	0	0	0	0	0	0.02242	0	0	0	0	0	0.02492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species74	0	0	0	0	0	0	0.02647	0.06728	0.04264	0	0.02027	0	0	0.02208	0	0	0	0	0	0	0.67426	0	0.68422	0	0	0	0	0	0.62774	0	0	0	0	0	0	0	0	0	0	0	0	0	0.72242	0.42849	0	0	0	0	0	0	0.00206	0.02244	0.00498	0.06246	0.02228	0	0	0	0	0	0	0	0	0	0	0	0.02998	2.82448	0	0.22879	0	0.00024	0	0	0.02427	0	6.96278	0	0	0	0	0	0.04462	2.87444	0	0	0.02442	8.4244	0	0	0.22272	0	0	0	0	0.02226	0	0	0	0	0	0.09607	0.02269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09467	0	0	0.27248	0	0	0.02226	0	0	0	0	0	0	0	0	2.22922	0	0	0	0	0	0	0	0	0	0	0	0	0
Species75	0	0	0.00222	0	0.00282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02426	0	0	0	0.00667	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06822	0	0	0	0	0	0	0.0044	0	0	0	0	0	0	0	0	0	0.0029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02226	0	0	0	0	0	0	0	0.24872	0	0.24694	0	0	0	0	0	0	0	0
Species76	0	0	0	0	0	0	0.0067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00284	0	0.00229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02284	0	0	0	0	0	0.02722	0	0	0	0	0	0	0	0	0.00226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02926	0	0	0	0	0.04222	0	0	0	0
Species77	0	0	0	0	0.00278	0	0	0	0	0	0	0	0	0	0	0	0.00407	0	0	0	0.0026	0.02446	0	0	0	0	0.02242	0	0	0	0	0	0	0	0.02282	0	0.02422	0	0	0.04746	0	0	0	0	0	0	0	0	0	0.0222	0	0.02672	0	0.00048	0	0	0	0.00264	0	0	0	0	0	0.00262	0	0	0.00247	0	0	0.02246	0	0	0	0	0.00222	0	0	0.02444	0	0	0	0	0	0	0	0	0	0	0	0	0.0089	0	0.22409	0	0	0	0	0	0	0	0	0	0.00282	0	0	0	0.00284	0	0	0	0	0	0.00227	0	0	0	0.00428	0	0	0	0.04706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00074	0	0	0	0	0.00486	0	0	0	0.00442
Species78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00499	0	0	0	0	0.00264	0	0	0	0	0	0	0	0	0	0	0	0.0062	0	0	0	0	0	0	0.00049	0	0	0	0.00286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00446	0	0	0	0	0.00794	0	0	0	0	0	0
Species79	0	0	0	0	0	0	0.02228	0.07276	0	0	0	0	0	0	0	0	0.00276	0	0	0	0	0.0024	0	0	0.02229	0	0	0	0.02046	0	0	0	0	0	0.00202	0.08229	0	0.00229	0	0	0.00428	0	0	0	0	0	0	0	0	0	0	0.00024	0	0	0	0	0	0.02229	0	0	0	0	0	0.00477	0	0	0	0	0	0	0	0	0	0	0.04804	0	0	0	0	0.02692	0	0.02222	0.00242	0	0	0	0.0299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02224	0	0	0	0	0	0	0	0	0	0	0.00047	0	0	0.00496	0	0	0	0.02882	0	0	0	0	0	0	0	0.00292	0	0	0	0.00209	0	0	0	0.00464	0.00242	0	0	0	0	0	0	0	0	0	0	0	0	0
Species80	0	0.20649	0.02282	0.00244	0	0.40229	0.0024	0.02749	4.64277	0	0.00202	0.00222	2.84404	0.4428	0.2268	0.24428	0	0.04227	0.06782	0.00962	0.00826	0	0	0.7289	0	2.8026	0.00878	0.02269	0.02274	0	0.26098	0	0.02974	0	0.00286	0.0202	0	0	4.66869	0	0.29499	0	0	0.04209	2.99002	0.46489	0	0.06076	0.06662	0	0.27724	0	0.08689	0.02042	0.04424	0.02204	0.02094	0	0.00849	0	0.02788	0.04668	0	0.02426	0.0429	0	0.00026	0.02204	0.92726	0.02824	0.00426	0	0.02242	4.20287	0.00222	0.02808	0	0	0.28402	0	0.02228	0	0	0	0	0.02804	0	0.00089	0.22424	0.09644	0.02474	0.22944	0.08248	0.02764	2.22404	0.2402	0.20202	0.22674	0.06792	2.20684	0.02724	0.02486	0.0027	0	0.04802	0	0.66824	0	0.92828	0.022	0.24924	0.2442	0.46672	0.22764	0.02228	0.04229	0.00267	0	0.04986	0.2244	0.04929	0	0.02448	0.22442	0	0.26826	0.00727	0.0024	0.00699	0.20087	0.08242	0.04222	0.00779	0.22222	0.02202	0.00224	0.42826	0.06928	0.47229	0.02404	0.00062	0.08246	0.28424	0.02722	0.2082	0.00026	0.22247	0	0.24209	0
Species81	0	0	0	0	0	0.04768	0	0	0	0.22286	0	0.0762	0	0.46222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.022	0	0	0	0	0	0	0	0	0.00642	0	0	0	0	0	0	0	0	0	0	0	0.02042	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00292	0	0	0	0	0.00947	0	0	0	0	0.04676	0	0	0	0	0	0	0	0	0	0.00626	0	0.02278	0	0	0	0	0	0.26044	0.06082	0	0	0	0.06067	0	0	0	0	0	0.09462	0	0	0	0	0	0.0272	0	0	0	0.22622	0	0	0	0	0	0.08872	0	0	0	0	0	0	0.02722	0	0	0.00284	0	0	0	0	0	0.00447	0	0	0	0	0	0	0	0	0.22278	0
Species82	0.42227	0.26062	0.04264	4.8892	2.74944	0	4.28442	0	0.2474	22.22494	0.0098	0.22222	0.02246	2.94686	0.6478	0.4672	0	0.02679	2.49626	0	0.42446	0	0	2.0822	0.02844	0.00484	2.47708	0.00422	0.02842	0	0	0	0.28927	0.22746	2.29462	2.22474	0.22206	24.42427	0.49426	0.40648	0.07689	0.2207	2.68227	0.20464	0.4096	0.42204	0.88482	0	0.07944	0.70229	0.04424	0.02297	0.42647	0.42786	0.47864	0.4822	0.02097	0.49229	2.80827	0	0	0	0.09202	2.64094	0.00442	2.69684	0.22228	2.6496	0	0.00248	0.0494	0	0.24474	0.00202	2.22922	0.22992	2.00094	0.024	4.24482	0.0064	0	0.26442	0.00247	0.7822	22.97787	0.92702	0.66002	0.27677	0.29696	42.62722	0.02062	0	0	0.00487	2.70229	0.028	4.72677	0	0	0	0.62242	0.02948	0	0.08997	29.46246	0.84628	0	0.04642	0	0.69064	0.06428	0	0	0.02046	22.69409	2.28969	0	0.24246	0.0202	0	0.42404	0.20988	2.42202	0.27224	0.22244	0.00448	0.42468	0.20629	0.2648	0.02482	0	0.90442	0.00229	2.22042	7.29479	4.68298	0.74274	0.27264	0.28828	2.02222	0	2.20289	22.42894	0.26272	2.26627	0.76402	0.26944	29.49778	0.2406	2.06829
